ID,Name,Description,Price,Stock Level
f47ac10b-58cc-4372-a567-0e02b2c3d479,Varenyky,Delicious dumplings with potatoes and cheese,6.99,0
c9bf9e57-1685-4c89-bafb-ff5af830be8a,Pelmeni,Traditional meat dumplings,7.49,40
73c2f68f-8c8b-4c5a-8ea7-f246de7f4f74,Nalysnyky,Thin pancakes with cottage cheese filling,8.99,30
d3f8c6b4-ae5e-4a1c-8282-c5473f38e54c,Holubtsi,Cabbage rolls stuffed with rice and meat,9.99,20
9fef9c24-bb73-4c49-9c79-b78e02b9d09d,Borscht,Traditional beet soup with sour cream,4.99,15
e34ab98a-fc5b-4737-a214-781e8b7c657f,Deruny,Crispy potato pancakes,5.49,25
7b4b5c91-3e17-4dbf-bde1-6c4032d89ae3,Uzvar,Traditional dried fruit drink,3.49,60
ab6f11e9-3c22-4c7d-933d-2f560129c32b,Kutia,Sweet grain pudding with honey and poppy seeds,4.99,10
5f4b1c67-5a1d-4629-b1c9-1c3d12b3c5b8,Syrnyky,Fried cottage cheese pancakes with jam,6.49,20
9a4c6e78-8d5a-48e3-9f4c-1a7b5c9a3e4d,Kompot,Refreshing drink made with mixed fruits,2.99,50
4b3e8f56-4c2d-4e6a-8e53-c1d9b9f3a01c,Kyiv Cutlet,Chicken cutlet with buttery herb filling,11.49,22
12f3a7b4-6c2d-42f8-b7d9-9e3c8f2b4d5a,Holodets,Jellied meat broth served cold with garlic,5.49,18
26f8a5c7-4c2b-49e3-b5d8-1e3b7a2f9c1d,Banosh,Creamy cornmeal porridge with sour cream and cheese,6.99,12
13c5b4d2-7a1c-42e9-b7e2-3b4f9e2c8f2a,Kruchenyky,Stuffed beef rolls with mushrooms and onions,10.99,12
